company,ticker,period,period_date,published_at,monthly_revenue,yoy_pct,source,source_url,knowledge_time_method,transport
景碩,3189.TW,2024-09,2024-09-30T00:00:00+08:00,2024-10-10T23:59:59+08:00,2646537.0,33.770974555817325,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy,finmind
南電,8046.TW,2024-09,2024-09-30T00:00:00+08:00,2024-10-10T23:59:59+08:00,2968814.0,-15.651959716102336,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy,finmind
欣興,3037.TW,2024-10,2024-10-31T00:00:00+08:00,2024-11-10T23:59:59+08:00,10479818.0,19.23182425469998,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy,finmind
景碩,3189.TW,2024-10,2024-10-31T00:00:00+08:00,2024-11-10T23:59:59+08:00,2576678.0,2.724595110064998,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy,finmind
南電,8046.TW,2024-10,2024-10-31T00:00:00+08:00,2024-11-10T23:59:59+08:00,2616078.0,-27.33595038326644,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy,finmind
欣興,3037.TW,2024-11,2024-11-30T00:00:00+08:00,2024-12-10T23:59:59+08:00,9583655.0,9.963317468549636,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy,finmind
景碩,3189.TW,2024-11,2024-11-30T00:00:00+08:00,2024-12-10T23:59:59+08:00,2520732.0,-0.382940078769467,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy,finmind
南電,8046.TW,2024-11,2024-11-30T00:00:00+08:00,2024-12-10T23:59:59+08:00,2577203.0,-15.057724556897945,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy,finmind
欣興,3037.TW,2024-12,2024-12-31T00:00:00+08:00,2025-01-10T23:59:59+08:00,9317439.0,13.840895387260122,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy,finmind
景碩,3189.TW,2024-12,2024-12-31T00:00:00+08:00,2025-01-10T23:59:59+08:00,2945583.0,20.193291318212523,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy,finmind
南電,8046.TW,2024-12,2024-12-31T00:00:00+08:00,2025-01-10T23:59:59+08:00,2677001.0,0.015243258874253485,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy,finmind
欣興,3037.TW,2025-01,2025-01-31T00:00:00+08:00,2025-02-10T23:59:59+08:00,9493871.0,2.947533996786822,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy,finmind
景碩,3189.TW,2025-01,2025-01-31T00:00:00+08:00,2025-02-10T23:59:59+08:00,2556530.0,10.527221413279197,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy,finmind
南電,8046.TW,2025-01,2025-01-31T00:00:00+08:00,2025-02-10T23:59:59+08:00,2566125.0,0.17692115804501807,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy,finmind
欣興,3037.TW,2025-02,2025-02-28T00:00:00+08:00,2025-03-10T23:59:59+08:00,9985276.0,20.59782985463201,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy,finmind
景碩,3189.TW,2025-02,2025-02-28T00:00:00+08:00,2025-03-10T23:59:59+08:00,2913173.0,30.153583724485735,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy,finmind
南電,8046.TW,2025-02,2025-02-28T00:00:00+08:00,2025-03-10T23:59:59+08:00,2805847.0,49.83448420964942,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy,finmind
欣興,3037.TW,2025-03,2025-03-31T00:00:00+08:00,2025-04-10T23:59:59+08:00,10610385.0,19.20499110376559,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy,finmind
景碩,3189.TW,2025-03,2025-03-31T00:00:00+08:00,2025-04-10T23:59:59+08:00,3150041.0,28.93654521684388,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy,finmind
南電,8046.TW,2025-03,2025-03-31T00:00:00+08:00,2025-04-10T23:59:59+08:00,3086060.0,15.741081059186568,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy,finmind
欣興,3037.TW,2025-04,2025-04-30T00:00:00+08:00,2025-05-10T23:59:59+08:00,10915988.0,16.599250307440606,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy,finmind
景碩,3189.TW,2025-04,2025-04-30T00:00:00+08:00,2025-05-10T23:59:59+08:00,3212841.0,34.51471822105216,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy,finmind
南電,8046.TW,2025-04,2025-04-30T00:00:00+08:00,2025-05-10T23:59:59+08:00,3191344.0,19.255902456122787,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy,finmind
欣興,3037.TW,2025-05,2025-05-31T00:00:00+08:00,2025-06-10T23:59:59+08:00,10621322.0,10.13592005085946,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy,finmind
景碩,3189.TW,2025-05,2025-05-31T00:00:00+08:00,2025-06-10T23:59:59+08:00,3157305.0,25.728633971088,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy,finmind
南電,8046.TW,2025-05,2025-05-31T00:00:00+08:00,2025-06-10T23:59:59+08:00,3269216.0,21.107551514540845,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy,finmind
欣興,3037.TW,2025-06,2025-06-30T00:00:00+08:00,2025-07-10T23:59:59+08:00,10928735.0,23.187938583760868,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy,finmind
景碩,3189.TW,2025-06,2025-06-30T00:00:00+08:00,2025-07-10T23:59:59+08:00,3193580.0,33.021049579974736,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy,finmind
南電,8046.TW,2025-06,2025-06-30T00:00:00+08:00,2025-07-10T23:59:59+08:00,3122359.0,13.74187788033121,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy,finmind
欣興,3037.TW,2025-07,2025-07-31T00:00:00+08:00,2025-08-10T23:59:59+08:00,11311474.0,12.539516767944004,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy,finmind
景碩,3189.TW,2025-07,2025-07-31T00:00:00+08:00,2025-08-10T23:59:59+08:00,3348367.0,24.37654176762485,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy,finmind
