source_id,metric_id,entity,period,period_date,published_at,value,value_unit,change_pct,chain,dimension,source,source_url,knowledge_time_method
tpca_public_industry,ccl_export_yoy,Taiwan PCB industry,2024-06,2024-06-29 16:00:00+00:00,2024-07-19 15:59:59+00:00,34.4,percent,34.4,CCL,physical_throughput,TPCA public industry chart,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=25804,page_publication_date
tpca_public_industry,ccl_import_yoy,Taiwan PCB industry,2024-06,2024-06-29 16:00:00+00:00,2024-07-19 15:59:59+00:00,66.3,percent,66.3,CCL,market_tightness,TPCA public industry chart,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=25803,page_publication_date
tpca_public_industry,pcb_material_revenue_yoy,Taiwan PCB industry,2024-06,2024-06-29 16:00:00+00:00,2024-07-19 15:59:59+00:00,17.7,percent,17.7,CCL,physical_throughput,TPCA public industry chart,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=25805,page_publication_date
tpca_public_industry,pcb_revenue_yoy,Taiwan PCB industry,2024-06,2024-06-29 16:00:00+00:00,2024-07-15 15:59:59+00:00,11.36,percent,11.36,Networking,physical_throughput,TPCA public industry chart,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=25775,page_publication_date
tpca_public_industry,rigid_pcb_export_yoy,Taiwan PCB industry,2024-06,2024-06-29 16:00:00+00:00,2024-07-15 15:59:59+00:00,-4.29,percent,-4.29,Networking,physical_throughput,TPCA public industry chart,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=25777,page_publication_date
mops_abf_monthly_revenue,abf_company_revenue_yoy::3037.TW,欣興,2024-07,2024-07-30 16:00:00+00:00,2024-08-10 15:59:59+00:00,10051113.0,TWD thousand,17.296780157309666,ABF,financial_confirmation,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy
mops_abf_monthly_revenue,abf_company_revenue_yoy::3189.TW,景碩,2024-07,2024-07-30 16:00:00+00:00,2024-08-10 15:59:59+00:00,2692121.0,TWD thousand,39.116412776844456,ABF,financial_confirmation,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy
mops_abf_monthly_revenue,abf_company_revenue_yoy::8046.TW,南電,2024-07,2024-07-30 16:00:00+00:00,2024-08-10 15:59:59+00:00,3125412.0,TWD thousand,-6.242637267433649,ABF,financial_confirmation,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy
tpca_public_industry,ccl_export_yoy,Taiwan PCB industry,2024-07,2024-07-30 16:00:00+00:00,2024-08-19 15:59:59+00:00,27.2,percent,27.2,CCL,physical_throughput,TPCA public industry chart,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=25920,page_publication_date
tpca_public_industry,ccl_import_yoy,Taiwan PCB industry,2024-07,2024-07-30 16:00:00+00:00,2024-08-19 15:59:59+00:00,36.6,percent,36.6,CCL,market_tightness,TPCA public industry chart,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=25919,page_publication_date
tpca_public_industry,pcb_material_revenue_yoy,Taiwan PCB industry,2024-07,2024-07-30 16:00:00+00:00,2024-08-19 15:59:59+00:00,7.0,percent,7.0,CCL,physical_throughput,TPCA public industry chart,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=25921,page_publication_date
tpca_public_industry,pcb_revenue_yoy,Taiwan PCB industry,2024-07,2024-07-30 16:00:00+00:00,2024-08-14 15:59:59+00:00,14.62,percent,14.62,Networking,physical_throughput,TPCA public industry chart,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=25907,page_publication_date
tpca_public_industry,rigid_pcb_export_yoy,Taiwan PCB industry,2024-07,2024-07-30 16:00:00+00:00,2024-08-14 15:59:59+00:00,-3.74,percent,-3.74,Networking,physical_throughput,TPCA public industry chart,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=25908,page_publication_date
mops_abf_monthly_revenue,abf_company_revenue_yoy::3037.TW,欣興,2024-08,2024-08-30 16:00:00+00:00,2024-09-10 15:59:59+00:00,10823395.0,TWD thousand,17.41789644668421,ABF,financial_confirmation,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy
mops_abf_monthly_revenue,abf_company_revenue_yoy::3189.TW,景碩,2024-08,2024-08-30 16:00:00+00:00,2024-09-10 15:59:59+00:00,2858462.0,TWD thousand,34.03616703515184,ABF,financial_confirmation,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy
mops_abf_monthly_revenue,abf_company_revenue_yoy::8046.TW,南電,2024-08,2024-08-30 16:00:00+00:00,2024-09-10 15:59:59+00:00,3097645.0,TWD thousand,-8.194913450897623,ABF,financial_confirmation,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy
tpca_public_industry,ccl_export_yoy,Taiwan PCB industry,2024-08,2024-08-30 16:00:00+00:00,2024-09-17 15:59:59+00:00,33.0,percent,33.0,CCL,physical_throughput,TPCA public industry chart,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=26041,page_publication_date
tpca_public_industry,ccl_import_yoy,Taiwan PCB industry,2024-08,2024-08-30 16:00:00+00:00,2024-09-17 15:59:59+00:00,34.4,percent,34.4,CCL,market_tightness,TPCA public industry chart,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=26040,page_publication_date
tpca_public_industry,pcb_material_revenue_yoy,Taiwan PCB industry,2024-08,2024-08-30 16:00:00+00:00,2024-09-17 15:59:59+00:00,3.3,percent,3.3,CCL,physical_throughput,TPCA public industry chart,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=26042,page_publication_date
tpca_public_industry,pcb_revenue_yoy,Taiwan PCB industry,2024-08,2024-08-30 16:00:00+00:00,2024-09-11 15:59:59+00:00,12.06,percent,12.06,Networking,physical_throughput,TPCA public industry chart,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=26020,page_publication_date
tpca_public_industry,rigid_pcb_export_yoy,Taiwan PCB industry,2024-08,2024-08-30 16:00:00+00:00,2024-09-11 15:59:59+00:00,9.71,percent,9.71,Networking,physical_throughput,TPCA public industry chart,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=26022,page_publication_date
mops_abf_monthly_revenue,abf_company_revenue_yoy::3037.TW,欣興,2024-09,2024-09-29 16:00:00+00:00,2024-10-10 15:59:59+00:00,10837646.0,TWD thousand,23.733578905738373,ABF,financial_confirmation,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy
mops_abf_monthly_revenue,abf_company_revenue_yoy::3189.TW,景碩,2024-09,2024-09-29 16:00:00+00:00,2024-10-10 15:59:59+00:00,2646537.0,TWD thousand,33.770974555817325,ABF,financial_confirmation,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy
mops_abf_monthly_revenue,abf_company_revenue_yoy::8046.TW,南電,2024-09,2024-09-29 16:00:00+00:00,2024-10-10 15:59:59+00:00,2968814.0,TWD thousand,-15.651959716102336,ABF,financial_confirmation,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy
tpca_public_industry,ccl_export_yoy,Taiwan PCB industry,2024-09,2024-09-29 16:00:00+00:00,2024-10-15 15:59:59+00:00,14.9,percent,14.9,CCL,physical_throughput,TPCA public industry chart,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=26173,page_publication_date
tpca_public_industry,ccl_import_yoy,Taiwan PCB industry,2024-09,2024-09-29 16:00:00+00:00,2024-10-15 15:59:59+00:00,21.2,percent,21.2,CCL,market_tightness,TPCA public industry chart,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=26172,page_publication_date
tpca_public_industry,pcb_material_revenue_yoy,Taiwan PCB industry,2024-09,2024-09-29 16:00:00+00:00,2024-10-15 15:59:59+00:00,5.9,percent,5.9,CCL,physical_throughput,TPCA public industry chart,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=26174,page_publication_date
