metric_id,period,period_date,published_at,change_pct,chain,dimension,title,source_url,source,knowledge_time_method
pcb_revenue_yoy,2024-10,2024-10-31T00:00:00+08:00,2024-11-12T23:59:59+08:00,-1.07,Networking,physical_throughput,2024年10月 PCB上市櫃營收 YoY -1.07%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=26294,TPCA public industry chart,page_publication_date
rigid_pcb_export_yoy,2024-10,2024-10-31T00:00:00+08:00,2024-11-12T23:59:59+08:00,11.32,Networking,physical_throughput,2024年10月台灣硬板出口YoY11.32%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=26296,TPCA public industry chart,page_publication_date
ccl_export_yoy,2024-11,2024-11-30T00:00:00+08:00,2024-12-18T23:59:59+08:00,37.1,CCL,physical_throughput,2024年11月台灣CCL 出口YoY 37.1%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=26458,TPCA public industry chart,page_publication_date
ccl_import_yoy,2024-11,2024-11-30T00:00:00+08:00,2024-12-18T23:59:59+08:00,21.9,CCL,market_tightness,2024年11月台灣CCL 進口YoY 21.9%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=26459,TPCA public industry chart,page_publication_date
pcb_material_revenue_yoy,2024-11,2024-11-30T00:00:00+08:00,2024-12-18T23:59:59+08:00,10.5,CCL,physical_throughput,2024年11月台灣上市櫃PCB原物料營收YoY 10.5%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=26460,TPCA public industry chart,page_publication_date
pcb_revenue_yoy,2024-11,2024-11-30T00:00:00+08:00,2024-12-11T23:59:59+08:00,1.66,Networking,physical_throughput,2024年11月 PCB上市櫃營收 YoY 1.66%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=26423,TPCA public industry chart,page_publication_date
rigid_pcb_export_yoy,2024-11,2024-11-30T00:00:00+08:00,2024-12-11T23:59:59+08:00,-2.29,Networking,physical_throughput,2024年11月台灣硬板出口YoY-2.29%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=26420,TPCA public industry chart,page_publication_date
ccl_export_yoy,2024-12,2024-12-31T00:00:00+08:00,2025-01-21T23:59:59+08:00,21.3,CCL,physical_throughput,2024年12月台灣CCL 出口YoY 21.3%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=26600,TPCA public industry chart,page_publication_date
ccl_import_yoy,2024-12,2024-12-31T00:00:00+08:00,2025-01-21T23:59:59+08:00,19.3,CCL,market_tightness,2024年12月台灣CCL 進口YoY 19.3%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=26599,TPCA public industry chart,page_publication_date
pcb_material_revenue_yoy,2024-12,2024-12-31T00:00:00+08:00,2025-01-21T23:59:59+08:00,17.6,CCL,physical_throughput,2024年12月台灣上市櫃PCB原物料營收YoY 17.6%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=26597,TPCA public industry chart,page_publication_date
pcb_revenue_yoy,2024-12,2024-12-31T00:00:00+08:00,2025-01-15T23:59:59+08:00,8.86,Networking,physical_throughput,2024年12月 PCB上市櫃營收 YoY 8.86%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=26574,TPCA public industry chart,page_publication_date
rigid_pcb_export_yoy,2024-12,2024-12-31T00:00:00+08:00,2025-01-15T23:59:59+08:00,-3.77,Networking,physical_throughput,2024年12月台灣硬板出口YoY-3.77%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=26576,TPCA public industry chart,page_publication_date
ccl_export_yoy,2025-01,2025-01-31T00:00:00+08:00,2025-02-19T23:59:59+08:00,5.0,CCL,physical_throughput,2025年1月台灣CCL 出口YoY 5.0%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=26782,TPCA public industry chart,page_publication_date
ccl_import_yoy,2025-01,2025-01-31T00:00:00+08:00,2025-02-19T23:59:59+08:00,-11.9,CCL,market_tightness,2025年1月台灣CCL 進口YoY -11.9%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=26781,TPCA public industry chart,page_publication_date
pcb_material_revenue_yoy,2025-01,2025-01-31T00:00:00+08:00,2025-02-19T23:59:59+08:00,3.5,CCL,physical_throughput,2025年1月台灣上市櫃PCB原物料營收YoY 3.5%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=26784,TPCA public industry chart,page_publication_date
pcb_revenue_yoy,2025-01,2025-01-31T00:00:00+08:00,2025-02-12T23:59:59+08:00,-0.99,Networking,physical_throughput,2025年1月 PCB上市櫃營收 YoY -0.99%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=26754,TPCA public industry chart,page_publication_date
rigid_pcb_export_yoy,2025-01,2025-01-31T00:00:00+08:00,2025-02-12T23:59:59+08:00,-10.45,Networking,physical_throughput,2025年1月台灣硬板出口YoY-10.45%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=26756,TPCA public industry chart,page_publication_date
ccl_export_yoy,2025-02,2025-02-28T00:00:00+08:00,2025-03-19T23:59:59+08:00,39.5,CCL,physical_throughput,2025年2月台灣CCL 出口YoY 39.5%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=26905,TPCA public industry chart,page_publication_date
ccl_import_yoy,2025-02,2025-02-28T00:00:00+08:00,2025-03-19T23:59:59+08:00,33.0,CCL,market_tightness,2025年2月台灣CCL 進口YoY 33.0%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=26904,TPCA public industry chart,page_publication_date
